Tick,AverageTemperature,WhiteDaisyCount,BlackDaisyCount,TotalDaisyCount,SolarLuminosity
251,4.86,622,145,767,1.0500
252,4.04,620,159,779,1.0550
253,4.01,622,166,788,1.0600
254,4.16,623,167,790,1.0650
255,4.37,614,170,784,1.0700
256,5.01,605,173,778,1.0750
257,5.87,596,184,780,1.0800
258,6.90,583,191,774,1.0850
259,8.14,559,201,760,1.0900
260,9.92,546,216,762,1.0950
261,11.60,540,226,766,1.1000
262,12.93,536,233,769,1.1050
263,13.97,544,248,792,1.1100
264,14.50,530,258,788,1.1150
265,15.54,519,271,790,1.1200
266,16.76,505,282,787,1.1250
267,18.16,499,293,792,1.1300
268,19.35,488,295,783,1.1350
269,20.53,472,302,774,1.1400
270,21.95,462,303,765,1.1450
271,23.20,460,304,764,1.1500
272,24.06,464,298,762,1.1550
273,24.44,478,295,773,1.1600
274,24.23,483,288,771,1.1650
275,24.03,490,274,764,1.1700
276,23.68,511,263,774,1.1750
277,22.77,529,248,777,1.1800
278,21.65,552,240,792,1.1850
279,20.30,566,231,797,1.1900
280,19.17,587,223,810,1.1950
281,17.89,602,205,807,1.2000
282,16.67,618,192,810,1.2050
283,15.48,637,181,818,1.2100
284,14.22,646,162,808,1.2150
285,13.22,659,148,807,1.2200
286,12.24,682,135,817,1.2250
287,10.91,661,119,780,1.2300
288,11.03,686,111,797,1.2350
289,10.22,712,96,808,1.2400
290,8.84,738,80,818,1.2450
291,7.17,759,67,826,1.2500
292,5.57,760,57,817,1.2550
293,4.78,764,51,815,1.2600
294,4.32,761,45,806,1.2650
295,4.28,760,38,798,1.2700
296,4.38,753,32,785,1.2750
297,4.77,736,30,766,1.2800
298,5.73,741,27,768,1.2850
299,6.13,757,29,786,1.2900
300,5.89,757,32,789,1.2950
301,5.94,760,37,797,1.3000
302,6.03,756,37,793,1.3050
303,6.37,760,39,799,1.3100
304,6.54,762,36,798,1.3150
305,6.66,764,36,800,1.3200
306,6.79,762,34,796,1.3250
307,7.04,767,35,802,1.3300
308,7.12,787,37,824,1.3350
309,6.57,786,36,822,1.3400
310,6.45,767,36,803,1.3450
311,7.24,778,37,815,1.3500
312,7.36,778,33,811,1.3550
313,7.52,787,32,819,1.3600
314,7.39,781,32,813,1.3650
315,7.67,771,31,802,1.3700
316,8.31,780,31,811,1.3750
317,8.43,800,30,830,1.3800
318,7.86,799,30,829,1.3850
319,7.74,805,30,835,1.3900
320,7.58,789,30,819,1.3950
321,8.23,803,30,833,1.4000
322,8.16,788,30,818,1.4050
323,8.82,786,27,813,1.4100
324,9.32,793,24,817,1.4150
325,9.40,803,20,823,1.4200
326,9.16,799,17,816,1.4250
327,9.29,815,15,830,1.4300
328,8.86,810,13,823,1.4350
329,8.93,811,13,824,1.4400
330,9.06,814,13,827,1.4450
331,9.14,809,12,821,1.4500
332,9.48,814,8,822,1.4550
333,9.54,819,8,827,1.4600
334,9.51,828,8,836,1.4650
335,9.28,824,7,831,1.4700
336,9.43,819,6,825,1.4750
337,9.80,822,6,828,1.4800
338,10.00,820,6,826,1.4850
339,10.29,829,6,835,1.4900
340,10.22,829,6,835,1.4950
341,10.31,816,6,822,1.5000
342,10.96,831,6,837,1.5050
343,10.84,830,5,835,1.5100
344,10.93,835,5,840,1.5150
345,10.90,835,5,840,1.5200
346,11.01,834,5,839,1.5250
