Tick,AverageTemperature,WhiteDaisyCount,BlackDaisyCount,TotalDaisyCount,SolarLuminosity
132,37.38,33,663,696,0.8000
133,37.36,29,661,690,0.8000
134,37.49,24,649,673,0.8000
135,37.62,20,632,652,0.8000
136,37.67,12,621,633,0.8000
137,37.90,4,642,646,0.8000
138,38.51,2,676,678,0.8000
139,39.21,1,707,708,0.8000
140,39.90,0,706,706,0.8000
141,40.27,0,714,714,0.8000
142,40.53,0,732,732,0.8000
143,40.84,0,739,739,0.8000
144,41.05,0,745,745,0.8000
145,41.22,0,753,753,0.8000
146,41.38,0,768,768,0.8000
147,41.60,0,776,776,0.8000
148,41.79,0,768,768,0.8000
149,41.81,0,771,771,0.8000
150,41.85,0,768,768,0.8000
151,41.84,0,763,763,0.8000
152,41.78,0,748,748,0.8000
153,41.61,0,741,741,0.8000
154,41.46,0,716,716,0.8000
155,41.15,0,689,689,0.8000
156,40.73,0,683,683,0.8000
157,40.47,0,688,688,0.8000
158,40.38,0,671,671,0.8000
159,40.18,0,667,667,0.8000
160,40.04,0,653,653,0.8000
161,39.83,0,630,630,0.8000
162,39.51,0,587,587,0.8000
163,38.94,0,576,576,0.8000
164,38.55,0,592,592,0.8000
165,38.51,0,605,605,0.8000
166,38.61,0,629,629,0.8000
167,38.89,0,693,693,0.8000
168,39.64,0,723,723,0.8000
169,40.30,0,752,752,0.8000
170,40.91,0,749,749,0.8000
171,41.19,0,756,756,0.8000
172,41.39,0,762,762,0.8000
173,41.55,0,769,769,0.8000
174,41.70,0,779,779,0.8000
175,41.87,0,776,776,0.8000
176,41.92,0,768,768,0.8000
177,41.87,0,768,768,0.8000
178,41.85,0,776,776,0.8000
179,41.91,0,771,771,0.8000
180,41.90,0,769,769,0.8000
181,41.87,0,751,751,0.8000
182,41.69,0,738,738,0.8000
183,41.47,0,719,719,0.8000
184,41.18,0,708,708,0.8000
185,40.93,0,697,697,0.8000
186,40.70,0,683,683,0.8000
187,40.45,0,659,659,0.8000
188,40.10,0,645,645,0.8000
189,39.79,0,644,644,0.8000
190,39.62,0,632,632,0.8000
191,39.42,0,582,582,0.8000
192,38.85,0,583,583,0.8000
193,38.57,0,578,578,0.8000
194,38.38,0,591,591,0.8000
195,38.41,0,636,636,0.8000
196,38.86,0,674,674,0.8000
197,39.44,0,718,718,0.8000
198,40.16,0,753,753,0.8000
199,40.85,0,772,772,0.8000
200,41.38,0,782,782,0.8000
201,41.73,0,785,785,0.8000
202,41.94,0,771,771,0.8000
203,41.91,0,772,772,0.8000
204,41.91,0,774,774,0.8000
205,41.92,0,765,765,0.8000
206,41.85,0,769,769,0.8000
207,41.85,0,763,763,0.8000
208,41.79,0,769,769,0.8000
209,41.82,0,767,767,0.8000
210,41.81,0,768,768,0.8000
211,41.82,0,763,763,0.8000
212,41.77,0,736,736,0.8000
213,41.49,0,715,715,0.8000
214,41.15,0,696,696,0.8000
215,40.80,0,664,664,0.8000
216,40.32,0,637,637,0.8000
217,39.82,0,641,641,0.8000
218,39.61,0,634,634,0.8000
219,39.44,0,615,615,0.8000
220,39.17,0,597,597,0.8000
221,38.87,0,578,578,0.8000
222,38.53,0,561,561,0.8000
223,38.20,0,552,552,0.8000
224,37.95,0,590,590,0.8000
225,38.19,0,617,617,0.8000
226,38.56,0,666,666,0.8000
227,39.22,0,708,708,0.8000
228,39.95,0,751,751,0.8000
229,40.73,0,760,760,0.8000
230,41.20,0,773,773,0.8000
231,41.56,0,785,785,0.8000
232,41.86,0,779,779,0.8000
233,41.95,0,774,774,0.8000
234,41.94,0,762,762,0.8000
235,41.83,0,764,764,0.8000
236,41.79,0,769,769,0.8000
237,41.82,0,776,776,0.8000
238,41.90,0,782,782,0.8000
239,42.00,0,783,783,0.8000
240,42.05,0,777,777,0.8000
241,42.03,0,746,746,0.8000
242,41.72,0,714,714,0.8000
243,41.26,0,708,708,0.8000
244,40.97,0,676,676,0.8000
245,40.52,0,666,666,0.8000
246,40.20,0,643,643,0.8000
247,39.82,0,641,641,0.8000
248,39.61,0,631,631,0.8000
249,39.41,0,636,636,0.8000
250,39.36,0,613,613,0.8000
251,39.11,0,612,612,0.8000
252,38.98,0,596,596,0.8000
253,38.76,0,615,615,0.8000
254,38.83,0,627,627,0.8000
255,38.98,0,668,668,0.8000
256,39.45,0,695,695,0.8000
257,39.94,0,717,717,0.8000
258,40.40,0,728,728,0.8000
259,40.73,0,732,732,0.8000
260,40.93,0,733,733,0.8000
261,41.05,0,749,749,0.8000
262,41.25,0,762,762,0.8000
263,41.48,0,780,780,0.8000
264,41.77,0,778,778,0.8000
265,41.89,0,789,789,0.8000
266,42.06,0,791,791,0.8000
267,42.16,0,785,785,0.8000
268,42.16,0,772,772,0.8000
269,42.03,0,765,765,0.8000
270,41.90,0,754,754,0.8000
271,41.73,0,733,733,0.8000
272,41.44,0,714,714,0.8000
273,41.12,0,676,676,0.8000
274,40.59,0,649,649,0.8000
275,40.07,0,619,619,0.8000
276,39.53,0,597,597,0.8000
277,39.04,0,604,604,0.8000
